tbl,Year,quarter,citymarketid,cityname,airportid,apt,TotalMkts,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHMkts,SHPax,SHPerLFMkts,SHAvgHubFare,SHPerPrem,LHMkts,LHPax,LHPerLFMkts,LHAvgHubFare,LHPerPrem,tbl7pk
Table 7,2013,4,32448,"Jackson/Vicksburg, MS",12448,JAN,48,196800,0.6423,237.60,0.0423,17,110910,0.5778,205.63,0.0047,31,85890,0.7256,278.88,0.0808,2013412448JAN
Table 7,2019,3,35096,"Syracuse, NY",15096,SYR,66,476900,0.5839,221.14,-0.0551,26,178500,0.5440,187.04,-0.0639,40,298400,0.6078,241.54,-0.0510,2019315096SYR
Table 7,2015,4,31982,"Killeen, TX",11982,GRK,13,12660,0.0000,261.76,0.0118,,,,,,13,12660,0.0000,261.76,0.0118,2015411982GRK
Table 7,2018,1,35041,"Sun Valley/Hailey/Ketchum, ID",15041,SUN,12,25440,0.0000,255.17,0.0100,9,22360,0.0000,224.29,-0.0848,3,3080,0.0000,479.33,0.5589,2018115041SUN
Table 7,2009,2,30928,"Wichita, KS",12278,ICT,54,265350,0.7443,173.87,-0.0421,11,59910,0.3711,211.15,0.4071,43,205440,0.8531,162.99,-0.1452,2009212278ICT
Table 7,2009,3,30423,"Austin, TX",16440,AUS,106,1612690,0.8316,175.18,0.0258,24,358070,0.8483,143.78,0.0135,82,1254620,0.8269,184.14,0.0286,2009316440AUS
Table 7,2011,4,33192,"Sacramento, CA",14893,SMF,86,1704950,0.9533,191.69,-0.0760,16,1014300,0.9890,149.10,-0.1273,70,690650,0.9008,254.23,-0.0268,2011414893SMF
Table 7,2016,4,34321,"Portland, ME",14321,PWM,61,324220,0.6998,229.07,0.0121,17,133920,0.4494,183.08,0.0478,44,190300,0.8760,261.44,-0.0046,2016414321PWM
Table 7,2010,2,32124,"Hilton Head, SC",12124,HHH,15,13020,0.0000,241.67,0.2685,10,7190,0.0000,252.86,0.3683,5,5830,0.0000,227.87,0.1534,2010212124HHH
Table 7,2011,4,30431,"Asheville, NC",10431,AVL,38,98640,0.2421,210.21,-0.0726,17,62100,0.3845,173.35,-0.1567,21,36540,0.0000,272.85,0.0394,2011410431AVL
Table 7,2010,3,33486,"Missoula, MT",13486,MSO,32,95770,0.0000,214.70,-0.0093,6,32450,0.0000,185.37,-0.0674,26,63320,0.0000,229.73,0.0169,2010313486MSO
